回答ID,年齢層,性別,職業,満足度,利用頻度,改善要望,サービスの良かった点
1,30代,男性,会社員,とても満足,月1回,配送料金をもう少し安くしてほしい。急な配送にも対応してほしい。,配送スタッフの対応が丁寧で気持ちが良かった
2,40代,女性,自営業,満足,週1回,夜間配送の時間帯をもっと増やしてほしい。,荷物の取り扱いが丁寧で安心できる
3,20代,男性,学生,やや不満,年数回,配送状況の追跡システムを改善してほしい。,カスタマーサービスの対応が親切
4,50代,女性,会社員,満足,月2回,環境に配慮した梱包材を使用してほしい。,配送が予定通りで信頼できる
5,30代,男性,公務員,とても満足,週2回,スマートフォンアプリをもっと使いやすくしてほしい。,配送の正確性が高く安心
6,40代,女性,パート,普通,月1回,配送予定時刻をもっと細かく指定したい。,配送スタッフの気配りが素晴らしい
7,60代,男性,自営業,満足,週1回,再配達の手続きを簡単にしてほしい。,いつも時間通りの配送で助かる
8,20代,女性,フリーランス,やや満足,月3回,国際配送のサービスを充実させてほしい。,急な配送依頼にも対応してくれる
9,30代,男性,会社員,とても満足,週1回,配送料金の割引サービスを増やしてほしい。,丁寧な荷物の取り扱いが印象的
10,40代,女性,会社員,満足,月2回,配送状況の通知をもっと詳細にしてほしい。,カスタマーサポートの対応が迅速
11,50代,男性,経営者,やや不満,週2回,大型荷物の配送オプションを増やしてほしい。,配送ネットワークが充実している
12,30代,女性,会社員,満足,月1回,集荷の予約システムを改善してほしい。,安全な配送で安心できる
13,40代,男性,自営業,とても満足,週1回,配送エリアをもっと拡大してほしい。,緊急時の対応が素晴らしい
14,20代,女性,学生,普通,年数回,深夜配送サービスがあると便利。,配送料金が適切で利用しやすい
15,30代,男性,会社員,満足,月2回,環境配慮型の配送サービスを導入してほしい。,配送スタッフの専門性が高い 